Round: 1
amber dreams: a roger zelazny bibliography,4.03333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,6.5,12
over my shoulder,4.83333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,13.7333333333333,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.5,7
mismeasure of man  the,1,1
minus ten and counting,7,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,8.33333333333333,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 17
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,20.9,45
nesfa index  1982  the,4.83333333333333,8
high kings  the,27.2333333333333,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.58333333333333,10
dark valley destiny,4.2,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,7.73333333333333,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.58333333333333,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,15.8166666666667,29
amber dreams: a roger zelazny bibliography,4.03333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,6.5,12
over my shoulder,5.83333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,13.7833333333333,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.66666666666667,7
mismeasure of man  the,1,1
minus ten and counting,7,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,8.5,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 18
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,21.5666666666667,45
nesfa index  1982  the,4.83333333333333,8
high kings  the,27.2333333333333,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.75,10
dark valley destiny,4.2,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,7.9,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.58333333333333,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,15.9833333333333,29
amber dreams: a roger zelazny bibliography,4.03333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,6.5,12
over my shoulder,5.83333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,14.2833333333333,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.66666666666667,7
mismeasure of man  the,1,1
minus ten and counting,7,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,8.5,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 19
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,22.0666666666667,45
nesfa index  1982  the,4.83333333333333,8
high kings  the,27.9,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.75,10
dark valley destiny,4.2,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,7.9,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.58333333333333,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,16.15,29
amber dreams: a roger zelazny bibliography,4.03333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,6.5,12
over my shoulder,7.33333333333333,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,14.2833333333333,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.66666666666667,7
mismeasure of man  the,1,1
minus ten and counting,7,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,8.5,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 20
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,23.2833333333333,45
nesfa index  1982  the,4.83333333333333,8
high kings  the,28.0333333333333,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.75,10
dark valley destiny,4.2,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,8.95,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.58333333333333,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,16.45,29
amber dreams: a roger zelazny bibliography,4.03333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,7.5,12
over my shoulder,7.5,8
art of return of the jedi,3.58333333333333,5
fantasy cookbook,0.5,1
staying alive: a writer's guide,14.45,26
space images,0.333333333333333,1
spaceflight,1,1
science in science fiction  the,4.66666666666667,7
mismeasure of man  the,1,1
minus ten and counting,7,8
on the good ship enterprise: my 15 years...,0.5,2
skywalking: the life and films of george lucas,8.5,10
king hereafter,0.5,1
fantasy for children,0.25,1
john collise,0.333333333333333,1

Round: 21
nesfa index  1983  the,2,2
yves st. laurent,0.5,1
dream makers  volume ii,23.8666666666667,45
nesfa index  1982  the,4.83333333333333,8
high kings  the,28.5333333333333,45
nesfa index  1977-78,0.833333333333333,2
worlds beyond: the art of chesley bonestall,2.95,9
making of return of the jedi  the,2.33333333333333,4
castle of the otter  the,6.75,10
dark valley destiny,4.2,8
talbot mundy: messenger of destiny,3.03333333333333,8
de camp: an l. sprague de camp bibliography,1.73333333333333,6
encyclopedia of sf & f  volume 3  the,9.53333333333333,19
cosmic dancers  the,0.833333333333333,2
deepsouthcon 21 program book,1,1
uranian worlds,6.58333333333333,11
worlds beyond: the art of chesley bonestell,2.16666666666667,7
against the night  the stars: the sf of clarke,2.15,6
fantastic art of rowena  the,17.45,29
amber dreams: a roger zelazny bibliography,4.03333333333333,11
guide to supernatural fiction  the,2.25,5
philip k. dick,7.5,12
